id,trial,trained.object,object.colour,sex,trained.object.side,distance.moved,mean.velocity,time.in.periphery,time.in.center,time.with.left.object,time.with.right.object
1,0,Green Tall Brick,green,M,L,3212.53,5.36686,588.776,5.80568,69.468,30.8302
1,11,Green Tall Brick,green,M,L,3341.64,5.74985,593.181,4.60451,92.2904,32.2316
2,0,Yellow Cube,yellow,M,R,2776.45,4.6399,523.312,73.6721,39.4386,109.707
2,11,Yellow Cube,yellow,M,R,2585.16,4.31734,544.733,53.4523,58.8576,44.0431
3,0,Red Ramp,red,M,R,3826.81,6.39095,558.347,40.0392,40.2394,46.4455
3,11,Red Ramp,red,M,R,3758.88,6.27749,529.719,68.8674,64.0627,68.8674
4,0,White Tall Brick,white,M,L,2530.09,4.22536,548.137,50.4494,56.2551,47.8468
4,11,White Tall Brick,white,M,L,2707.12,4.52101,582.17,16.0157,67.2659,45.0441
5,0,Orange Ramp,orange,M,R,2785.93,4.65263,556.545,28.0274,52.6515,71.47
5,11,Orange Ramp,orange,M,R,2410.57,4.02711,567.956,30.8302,70.2688,46.8459
6,0,Green Rectangular Prism,green,M,L,2239.35,3.73982,586.374,12.4122,41.0402,46.6457
6,11,Green Rectangular Prism,green,M,L,2305.34,3.85003,593.982,3.20314,43.6427,68.0666
7,11,Grey Ramp,grey,M,L,2485.89,4.15155,559.548,38.4376,31.631,43.2423
8,0,Yellow Rectangular Prism,yellow,M,L,3884.82,6.48783,560.549,18.418,43.0421,48.047
8,11,Yellow Rectangular Prism,yellow,M,L,3056.2,5.104,568.557,30.4298,41.2404,31.0304
9,0,Cyan Ramp,blue,M,R,2398.75,4.00603,545.534,15.4151,71.6702,29.629
9,11,Cyan Ramp,blue,M,R,2298.51,3.8399,592.18,5.80568,52.051,40.84
10,0,Green Semisphere,green,M,L,3287.56,5.49037,543.532,55.4543,35.0343,27.8272
10,11,Green Semisphere,green,M,L,3498.99,5.84348,541.13,57.8566,55.4543,34.8341
11,0,Blue Brick,blue,M,R,2048.09,3.4204,492.482,102.701,38.6378,56.0549
11,11,Blue Brick,blue,M,R,1597.05,2.66714,528.718,68.8674,42.8419,57.4563
12,0,Green Tall Brick,green,F,L,2722.02,4.65643,562.351,23.0225,45.2443,33.6329
12,11,Green Tall Brick,green,F,L,3014.84,5.03493,581.369,17.4171,42.8419,81.0794
13,0,Green Tall Brick,green,F,R,2220.16,3.70776,551.54,45.2443,62.4612,47.2463
13,11,Green Tall Brick,green,F,R,1957.45,3.26902,579.567,19.419,80.8792,54.0529
14,0,Yellow Cube,yellow,F,R,1720.12,2.87268,464.455,134.332,31.8312,82.2806
14,11,Yellow Cube,yellow,F,R,1417.91,2.36797,456.647,142.339,31.8312,63.8625
15,0,Yellow Cube,yellow,F,L,2541.13,4.65464,534.523,11.211,54.0529,51.4504
15,11,Yellow Cube,yellow,F,L,2221.4,3.70984,581.169,17.0167,54.8537,46.2453
16,0,Red Ramp,red,F,R,2202.1,3.67761,521.711,77.2757,46.4455,63.0617
16,11,Red Ramp,red,F,R,1833.16,3.06145,551.54,47.4465,46.0451,55.0539
17,0,Red Ramp,red,F,L,2394.51,3.99894,575.163,21.8214,21.0206,52.6515
17,11,Red Ramp,red,F,L,2029.5,3.38935,542.531,56.2551,53.8527,36.6359
18,0,White Tall Brick,white,F,L,1161.7,1.94009,468.258,130.728,53.2521,83.2815
19,0,White Tall Brick,white,F,R,3212.36,5.36479,573.361,21.0206,30.8302,54.8537
19,11,White Tall Brick,white,F,R,3009.6,5.02617,539.728,59.258,54.6535,45.6447
20,0,Orange Ramp,orange,F,R,2322.13,3.87806,528.317,66.6653,52.8517,42.6417
20,11,Orange Ramp,orange,F,R,1875.8,3.13266,550.539,48.4474,63.0617,41.841
21,0,Orange Ramp,orange,F,L,2565.31,4.28418,541.73,36.4357,45.4445,76.4749
21,11,Orange Ramp,orange,F,L,1952.43,3.26064,549.138,49.8488,78.677,48.047
22,0,Purple Brick,purple,F,R,2200.18,3.6744,517.907,81.0794,48.4474,46.2453
22,11,Purple Brick,purple,F,R,1073.63,1.79301,591.379,7.60745,26.4259,24.0235
23,0,Purple Brick,purple,F,L,2005.71,3.34963,513.503,79.8782,46.2453,42.8419
23,11,Purple Brick,purple,F,L,1545.97,2.58184,523.913,75.0735,53.2521,57.8566
24,0,Green Rectangular Prism,green,F,L,1629.46,2.72127,549.338,47.8468,39.839,47.8468
24,11,Green Rectangular Prism,green,F,L,1094.63,1.82809,561.95,37.0363,41.4406,34.0333
25,0,Green Rectangular Prism,green,F,R,2888.29,4.82357,558.146,37.2365,55.6545,38.6378
25,11,Green Rectangular Prism,green,F,R,1972.85,3.29475,546.935,52.051,39.6388,102.701
26,0,Grey Ramp,grey,F,L,2222.75,3.71209,560.549,29.4288,31.4308,48.4474
26,11,Grey Ramp,grey,F,L,1681.49,2.80816,591.579,7.20706,29.0284,30.0294
27,0,Grey Ramp,grey,F,R,2295.49,3.83358,573.361,24.8243,45.8449,51.4504
27,11,Grey Ramp,grey,F,R,1690.25,2.82279,559.748,19.0186,84.8831,28.8282
28,0,Grey Ramp,grey,M,L,2493.1,4.16499,558.146,39.6388,36.0353,88.2864
29,0,Yellow Rectangular Prism,yellow,F,L,2508.92,4.19,553.942,42.0412,58.257,43.4425
29,11,Yellow Rectangular Prism,yellow,F,L,1622.61,2.70983,543.933,54.4533,72.8713,30.2296
30,0,Yellow Rectangular Prism,yellow,F,R,2957.28,4.9388,572.761,24.4239,55.2541,41.841
30,11,Yellow Rectangular Prism,yellow,F,R,1891.8,3.1594,570.358,28.628,50.8498,41.841
31,0,Cyan Ramp,blue,F,R,2270.49,3.79183,499.289,99.6976,51.2502,91.2894
31,11,Cyan Ramp,blue,F,R,2289.72,3.82394,551.14,47.6466,68.8674,62.6613
32,0,Cyan Ramp,blue,F,L,2169.71,3.62351,564.753,33.4327,30.63,66.8655
32,11,Cyan Ramp,blue,F,L,2184.09,3.64753,540.529,58.4572,35.2345,47.4465
33,0,Green Semisphere,green,F,L,2096.76,3.50168,409.601,189.385,71.6702,78.4768
33,11,Green Semisphere,green,F,L,2311.12,3.85968,474.064,124.922,62.6613,87.2855
34,0,Green Semisphere,green,F,R,1999.71,3.3396,487.677,111.109,36.6359,43.6427
34,11,Green Semisphere,green,F,R,1923.05,3.21158,583.772,15.2149,58.6574,66.2649
35,0,Blue Brick,blue,F,R,1746.75,2.92009,503.693,94.6927,42.8419,66.6653
35,11,Blue Brick,blue,F,R,917.809,1.53278,529.919,69.0676,34.2335,21.421
36,0,Blue Brick,blue,F,L,3153.2,5.26598,567.756,30.0294,63.0617,50.8498
36,11,Blue Brick,blue,F,L,2742.88,4.58073,564.152,34.8341,59.0578,43.6427
